協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
CCM48,中国語(中国D無),中国語,22.0,男性,235,N2
CCM49,中国語(中国D無),中国語,21.0,女性,247,N2
JJN25,国内自然習得,中国語,31.0,女性,278,N1
CCM52,中国語(中国D無),中国語,21.0,女性,229,N2
JJE01,国内教室環境,中国語,25.0,男性,132,N4
JJN50,国内自然習得,中国語,51.0,男性,134,N4
JJC59,国内教室環境,中国語,31.0,女性,266,N1
JJC07,国内教室環境,中国語,21.0,男性,138,N4
JJE26,国内教室環境,中国語,25.0,女性,139,N4
JJE66,国内教室環境,中国語,22.0,男性,148,N4
JJC27,国内教室環境,中国語,26.0,女性,149,N4
JJC01,国内教室環境,中国語,19.0,男性,152,N3
JJN36,国内自然習得,中国語,41.0,女性,152,N3
JJN48,国内自然習得,中国語,26.0,女性,155,N3
JJE28,国内教室環境,中国語,26.0,男性,156,N3
JJE63,国内教室環境,中国語,22.0,男性,157,N3
JJE33,国内教室環境,中国語,25.0,女性,247,N2
JJE47,国内教室環境,中国語,32.0,男性,247,N2
JJC06,国内教室環境,中国語,20.0,男性,158,N3
JJC02,国内教室環境,中国語,24.0,男性,159,N3
JJE16,国内教室環境,中国語,28.0,男性,242,N2
JJE64,国内教室環境,中国語,21.0,女性,165,N3
JJE41,国内教室環境,中国語,26.0,男性,166,N3
JJN03,国内自然習得,中国語,38.0,女性,238,N2
JJE55,国内教室環境,中国語,28.0,男性,171,N3
JJE56,国内教室環境,中国語,22.0,女性,171,N3
JJE67,国内教室環境,中国語,25.0,女性,171,N3
JJC33,国内教室環境,中国語,22.0,男性,229,N2
JJE72,国内教室環境,中国語,,未回答,175,N3
JJC28,国内教室環境,中国語,23.0,男性,178,N3
JJC10,国内教室環境,中国語,26.0,男性,179,N3
JJC32,国内教室環境,中国語,21.0,男性,222,N2
JJE23,国内教室環境,中国語,26.0,女性,222,N2
JJE58,国内教室環境,中国語,24.0,女性,222,N2
JJE60,国内教室環境,中国語,29.0,男性,182,N3
JJE65,国内教室環境,中国語,25.0,男性,221,N2
JJC19,国内教室環境,中国語,25.0,男性,220,N2
JJE36,国内教室環境,中国語,23.0,男性,220,N2
JJE50,国内教室環境,中国語,21.0,女性,219,N2
JJE45,国内教室環境,中国語,21.0,女性,185,N3
JJC03,国内教室環境,中国語,19.0,女性,186,N3
JJC23,国内教室環境,中国語,26.0,女性,187,N3
JJE61,国内教室環境,中国語,23.0,女性,187,N3
JJE53,国内教室環境,中国語,21.0,女性,214,N2
JJC21,国内教室環境,中国語,23.0,女性,188,N3
JJC22,国内教室環境,中国語,27.0,男性,190,N3
JJE20,国内教室環境,中国語,30.0,男性,190,N3
JJE40,国内教室環境,中国語,25.0,男性,190,N3
JJE34,国内教室環境,中国語,22.0,男性,210,N2
JJC15,国内教室環境,中国語,22.0,女性,209,N2
JJC46,国内教室環境,中国語,21.0,女性,209,N2
