協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
EUS39,英語(D有),英語,24.0,男性,125,N4
JJN20,国内自然習得,英語,42.0,男性,281,N1
EUS23,英語(D有),英語,18.0,女性,128,N4
EUS18,英語(D有),英語,19.0,男性,129,N4
ENZ32,英語(D無),英語,21.0,女性,130,N4
EUS40,英語(D有),英語,29.0,男性,131,N4
EUS47,英語(D有),英語,19.0,男性,132,N4
EUS13,英語(D有),英語,20.0,女性,133,N4
EUS43,英語(D有),英語,25.0,男性,134,N4
ENZ31,英語(D無),英語,19.0,女性,272,N1
EAU14,英語(D無),英語,19.0,男性,136,N4
JJN24,国内自然習得,英語,26.0,男性,137,N4
EGB15,英語(D有),英語,24.0,女性,138,N4
EGB19,英語(D有),英語,21.0,女性,138,N4
ENZ23,英語(D無),英語,21.0,女性,139,N4
ENZ27,英語(D無),英語,21.0,男性,143,N4
ENZ43,英語(D無),英語,20.0,女性,143,N4
EAU29,英語(D無),英語,21.0,女性,144,N4
EAU30,英語(D無),英語,23.0,女性,144,N4
ENZ41,英語(D無),英語,21.0,男性,144,N4
EUS20,英語(D有),英語,22.0,男性,144,N4
ENZ30,英語(D無),英語,21.0,女性,149,N4
ENZ38,英語(D無),英語,19.0,男性,149,N4
EAU40,英語(D無),英語,24.0,女性,257,N1
EGB01,英語(D有),英語,20.0,男性,151,N3
ENZ48,英語(D無),英語,20.0,女性,151,N3
EUS03,英語(D有),英語,23.0,女性,254,N1
EAU32,英語(D無),英語,19.0,女性,153,N3
EAU03,英語(D無),英語,21.0,女性,198,N3
EAU05,英語(D無),英語,21.0,男性,194,N3
EAU07,英語(D無),英語,19.0,女性,222,N2
EAU11,英語(D無),英語,19.0,女性,183,N3
EAU15,英語(D無),英語,23.0,女性,231,N2
EAU16,英語(D無),英語,21.0,女性,165,N3
EAU18,英語(D無),英語,,女性,217,N2
EAU20,英語(D無),英語,18.0,女性,221,N2
EAU23,英語(D無),英語,19.0,女性,178,N3
EAU24,英語(D無),英語,21.0,女性,239,N2
EUS46,英語(D有),英語,18.0,男性,156,N3
EAU28,英語(D無),英語,24.0,男性,214,N2
JJN30,国内自然習得,英語,27.0,男性,156,N3
EAU31,英語(D無),英語,20.0,女性,197,N3
EGB23,英語(D有),英語,19.0,男性,157,N3
EUS12,英語(D有),英語,19.0,女性,157,N3
EAU34,英語(D無),英語,21.0,男性,235,N2
EAU36,英語(D無),英語,20.0,女性,203,N2
EAU37,英語(D無),英語,22.0,男性,194,N3
EAU38,英語(D無),英語,18.0,男性,209,N2
EGB03,英語(D有),英語,21.0,男性,224,N2
EGB07,英語(D有),英語,19.0,女性,184,N3
EGB08,英語(D有),英語,20.0,女性,179,N3
EGB10,英語(D有),英語,18.0,男性,179,N3
EGB11,英語(D有),英語,21.0,男性,194,N3
EGB17,英語(D有),英語,23.0,男性,200,N2
EGB21,英語(D有),英語,21.0,男性,223,N2
EGB22,英語(D有),英語,20.0,女性,195,N3
EGB26,英語(D有),英語,23.0,女性,173,N3
EGB28,英語(D有),英語,24.0,男性,237,N2
EGB29,英語(D有),英語,22.0,女性,204,N2
EGB30,英語(D有),英語,25.0,女性,214,N2
ENZ02,英語(D無),英語,21.0,女性,172,N3
ENZ08,英語(D無),英語,18.0,女性,198,N3
ENZ12,英語(D無),英語,21.0,女性,202,N2
ENZ13,英語(D無),英語,22.0,男性,239,N2
ENZ20,英語(D無),英語,20.0,女性,191,N3
ENZ29,英語(D無),英語,22.0,女性,216,N2
EUS33,英語(D有),英語,35.0,男性,241,N2
ENZ33,英語(D無),英語,19.0,女性,172,N3
ENZ35,英語(D無),英語,21.0,女性,168,N3
ENZ39,英語(D無),英語,20.0,女性,195,N3
EUS01,英語(D有),英語,22.0,女性,205,N2
EUS02,英語(D有),英語,23.0,男性,239,N2
EUS50,英語(D有),英語,26.0,男性,167,N3
EUS17,英語(D有),英語,21.0,女性,170,N3
EUS31,英語(D有),英語,26.0,男性,168,N3
EUS24,英語(D有),英語,22.0,男性,185,N3
EUS27,英語(D有),英語,21.0,女性,171,N3
EUS29,英語(D有),英語,22.0,女性,190,N3
EUS32,英語(D有),英語,22.0,男性,229,N2
EUS35,英語(D有),英語,26.0,女性,189,N3
JJE69,国内教室環境,英語,17.0,男性,232,N2
JJN55,国内自然習得,英語,38.0,男性,175,N3
JJN05,国内自然習得,英語,36.0,女性,219,N2
TTR03,トルコ語,トルコ語,21.0,女性,62,N5
TTR10,トルコ語,トルコ語,20.0,男性,67,N5
TTR55,トルコ語,トルコ語,19.0,女性,70,N5
TTR15,トルコ語,トルコ語,21.0,女性,81,N5
TTR27,トルコ語,トルコ語,44.0,女性,83,N5
TTR51,トルコ語,トルコ語,21.0,女性,84,N5
TTR08,トルコ語,トルコ語,21.0,女性,86,N5
TTR54,トルコ語,トルコ語,24.0,男性,94,N5
TTR36,トルコ語,トルコ語,20.0,男性,95,N5
TTR23,トルコ語,トルコ語,18.0,女性,98,N5
TTR16,トルコ語,トルコ語,21.0,男性,101,N4
TTR25,トルコ語,トルコ語,19.0,男性,106,N4
TTR02,トルコ語,トルコ語,22.0,女性,111,N4
TTR05,トルコ語,トルコ語,20.0,女性,119,N4
TTR53,トルコ語,トルコ語,22.0,女性,276,N1
TTR49,トルコ語,トルコ語,22.0,男性,133,N4
TTR19,トルコ語,トルコ語,21.0,男性,139,N4
TTR11,トルコ語,トルコ語,22.0,女性,143,N4
TTR20,トルコ語,トルコ語,20.0,男性,144,N4
TTR45,トルコ語,トルコ語,22.0,女性,257,N1
TTR47,トルコ語,トルコ語,23.0,女性,150,N3
TTR58,トルコ語,トルコ語,22.0,女性,150,N3
TTR42,トルコ語,トルコ語,18.0,女性,154,N3
TTR37,トルコ語,トルコ語,20.0,女性,155,N3
TTR24,トルコ語,トルコ語,20.0,女性,158,N3
TTR52,トルコ語,トルコ語,20.0,男性,159,N3
TTR04,トルコ語,トルコ語,25.0,男性,243,N2
TTR34,トルコ語,トルコ語,21.0,女性,162,N3
TTR28,トルコ語,トルコ語,22.0,女性,167,N3
TTR61,トルコ語,トルコ語,22.0,男性,237,N2
TTR57,トルコ語,トルコ語,22.0,女性,169,N3
TTR29,トルコ語,トルコ語,24.0,女性,170,N3
TTR26,トルコ語,トルコ語,21.0,女性,232,N2
TTR13,トルコ語,トルコ語,20.0,女性,173,N3
TTR39,トルコ語,トルコ語,25.0,女性,173,N3
TTR46,トルコ語,トルコ語,20.0,男性,228,N2
TTR60,トルコ語,トルコ語,19.0,女性,227,N2
TTR18,トルコ語,トルコ語,25.0,男性,177,N3
TTR43,トルコ語,トルコ語,21.0,男性,219,N2
TTR59,トルコ語,トルコ語,22.0,男性,185,N3
TTR56,トルコ語,トルコ語,21.0,男性,217,N2
TTR06,トルコ語,トルコ語,24.0,男性,186,N3
TTR33,トルコ語,トルコ語,20.0,女性,186,N3
TTR14,トルコ語,トルコ語,22.0,男性,189,N3
TTR17,トルコ語,トルコ語,20.0,男性,189,N3
TTR48,トルコ語,トルコ語,23.0,女性,212,N2
TTR35,トルコ語,トルコ語,20.0,男性,210,N2
TTR41,トルコ語,トルコ語,22.0,女性,192,N3
TTR50,トルコ語,トルコ語,23.0,女性,192,N3
TTR12,トルコ語,トルコ語,21.0,女性,196,N3
FFR56,フランス語,フランス語,21.0,男性,72,N5
FFR02,フランス語,フランス語,20.0,女性,112,N4
FFR26,フランス語,フランス語,27.0,男性,116,N4
FFR36,フランス語,フランス語,19.0,女性,119,N4
FFR30,フランス語,フランス語,19.0,女性,120,N4
FFR04,フランス語,フランス語,20.0,女性,130,N4
FFR37,フランス語,フランス語,22.0,女性,134,N4
FFR25,フランス語,フランス語,20.0,女性,135,N4
FFR35,フランス語,フランス語,20.0,女性,135,N4
FFR32,フランス語,フランス語,25.0,女性,136,N4
FFR45,フランス語,フランス語,24.0,女性,137,N4
FFR51,フランス語,フランス語,21.0,女性,138,N4
FFR59,フランス語,フランス語,20.0,女性,140,N4
FFR39,フランス語,フランス語,21.0,女性,141,N4
FFR33,フランス語,フランス語,22.0,男性,144,N4
FFR54,フランス語,フランス語,19.0,女性,146,N4
FFR13,フランス語,フランス語,20.0,男性,148,N4
FFR18,フランス語,フランス語,23.0,男性,148,N4
FFR31,フランス語,フランス語,19.0,女性,150,N3
FFR46,フランス語,フランス語,23.0,女性,151,N3
FFR01,フランス語,フランス語,21.0,女性,152,N3
FFR62,フランス語,フランス語,24.0,男性,251,N1
FFR11,フランス語,フランス語,21.0,女性,154,N3
FFR55,フランス語,フランス語,20.0,女性,154,N3
FFR63,フランス語,フランス語,21.0,女性,159,N3
FFR22,フランス語,フランス語,20.0,男性,160,N3
FFR20,フランス語,フランス語,21.0,女性,161,N3
FFR53,フランス語,フランス語,23.0,男性,161,N3
FFR57,フランス語,フランス語,19.0,女性,162,N3
FFR06,フランス語,フランス語,24.0,女性,168,N3
FFR19,フランス語,フランス語,26.0,男性,168,N3
FFR15,フランス語,フランス語,20.0,女性,171,N3
FFR44,フランス語,フランス語,21.0,女性,171,N3
FFR03,フランス語,フランス語,27.0,男性,226,N2
FFR42,フランス語,フランス語,20.0,男性,172,N3
FFR07,フランス語,フランス語,29.0,男性,176,N3
FFR08,フランス語,フランス語,20.0,女性,179,N3
FFR10,フランス語,フランス語,23.0,女性,209,N2
FFR17,フランス語,フランス語,19.0,女性,175,N3
FFR23,フランス語,フランス語,21.0,男性,173,N3
FFR24,フランス語,フランス語,23.0,男性,190,N3
FFR27,フランス語,フランス語,21.0,女性,175,N3
FFR38,フランス語,フランス語,22.0,女性,179,N3
FFR40,フランス語,フランス語,22.0,女性,192,N3
JJN29,国内自然習得,フランス語,41.0,女性,227,N2
FFR47,フランス語,フランス語,24.0,女性,191,N3
FFR49,フランス語,フランス語,19.0,女性,184,N3
FFR50,フランス語,フランス語,22.0,男性,206,N2
FFR61,フランス語,フランス語,24.0,男性,178,N3
FFR60,フランス語,フランス語,24.0,男性,179,N3
FFR64,フランス語,フランス語,23.0,女性,184,N3
JJN52,国内自然習得,インドネシア語,56.0,男性,81,N5
IID08,インドネシア語,インドネシア語,21.0,男性,85,N5
IID54,インドネシア語,インドネシア語,21.0,男性,101,N4
IID12,インドネシア語,インドネシア語,22.0,女性,107,N4
IID38,インドネシア語,インドネシア語,21.0,女性,120,N4
IID02,インドネシア語,インドネシア語,21.0,女性,124,N4
IID41,インドネシア語,インドネシア語,21.0,女性,129,N4
IID55,インドネシア語,インドネシア語,21.0,女性,134,N4
IID42,インドネシア語,インドネシア語,22.0,男性,136,N4
IID49,インドネシア語,インドネシア語,20.0,女性,145,N4
IID34,インドネシア語,インドネシア語,21.0,女性,151,N3
IID43,インドネシア語,インドネシア語,21.0,女性,151,N3
JJN51,国内自然習得,インドネシア語,56.0,女性,151,N3
IID44,インドネシア語,インドネシア語,21.0,男性,152,N3
IID33,インドネシア語,インドネシア語,21.0,女性,155,N3
IID25,インドネシア語,インドネシア語,18.0,男性,159,N3
IID10,インドネシア語,インドネシア語,21.0,女性,160,N3
IID31,インドネシア語,インドネシア語,21.0,女性,161,N3
IID48,インドネシア語,インドネシア語,21.0,女性,165,N3
IID52,インドネシア語,インドネシア語,20.0,男性,166,N3
IID03,インドネシア語,インドネシア語,20.0,女性,168,N3
IID50,インドネシア語,インドネシア語,20.0,女性,169,N3
IID11,インドネシア語,インドネシア語,21.0,女性,170,N3
IID47,インドネシア語,インドネシア語,20.0,女性,171,N3
IID51,インドネシア語,インドネシア語,20.0,女性,172,N3
IID14,インドネシア語,インドネシア語,21.0,男性,173,N3
IID16,インドネシア語,インドネシア語,20.0,女性,176,N3
IID07,インドネシア語,インドネシア語,21.0,女性,178,N3
IID28,インドネシア語,インドネシア語,21.0,女性,181,N3
IID39,インドネシア語,インドネシア語,21.0,女性,183,N3
IID40,インドネシア語,インドネシア語,21.0,女性,183,N3
IID23,インドネシア語,インドネシア語,22.0,女性,184,N3
IID46,インドネシア語,インドネシア語,20.0,女性,217,N2
IID09,インドネシア語,インドネシア語,20.0,女性,186,N3
IID26,インドネシア語,インドネシア語,20.0,女性,214,N2
IID36,インドネシア語,インドネシア語,23.0,男性,214,N2
IID18,インドネシア語,インドネシア語,21.0,女性,188,N3
IID06,インドネシア語,インドネシア語,21.0,女性,211,N2
IID13,インドネシア語,インドネシア語,21.0,女性,211,N2
IID22,インドネシア語,インドネシア語,22.0,女性,211,N2
IID24,インドネシア語,インドネシア語,21.0,男性,191,N3
IID45,インドネシア語,インドネシア語,21.0,女性,191,N3
IID01,インドネシア語,インドネシア語,21.0,女性,196,N3
IID19,インドネシア語,インドネシア語,22.0,女性,208,N2
IID32,インドネシア語,インドネシア語,21.0,女性,208,N2
IID35,インドネシア語,インドネシア語,21.0,女性,208,N2
IID15,インドネシア語,インドネシア語,20.0,男性,205,N2
IID17,インドネシア語,インドネシア語,22.0,女性,202,N2
IID20,インドネシア語,インドネシア語,21.0,女性,201,N2
IID27,インドネシア語,インドネシア語,21.0,女性,202,N2
IID29,インドネシア語,インドネシア語,21.0,女性,203,N2
IID56,インドネシア語,インドネシア語,20.0,女性,202,N2
TTH09,タイ語,タイ語,22.0,女性,331,N1
TTH50,タイ語,タイ語,30.0,女性,322,N1
TTH03,タイ語,タイ語,21.0,男性,281,N1
TTH04,タイ語,タイ語,22.0,女性,275,N1
TTH11,タイ語,タイ語,26.0,女性,275,N1
TTH33,タイ語,タイ語,27.0,女性,272,N1
TTH25,タイ語,タイ語,21.0,女性,268,N1
TTH48,タイ語,タイ語,21.0,女性,141,N4
TTH26,タイ語,タイ語,22.0,女性,257,N1
TTH08,タイ語,タイ語,19.0,女性,153,N3
TTH24,タイ語,タイ語,22.0,女性,158,N3
JJC20,国内教室環境,タイ語,23.0,女性,246,N2
TTH43,タイ語,タイ語,22.0,女性,246,N2
JJC09,国内教室環境,タイ語,29.0,男性,244,N2
TTH37,タイ語,タイ語,22.0,女性,244,N2
TTH15,タイ語,タイ語,30.0,女性,241,N2
TTH31,タイ語,タイ語,22.0,男性,240,N2
TTH21,タイ語,タイ語,21.0,女性,237,N2
TTH52,タイ語,タイ語,21.0,男性,237,N2
TTH30,タイ語,タイ語,21.0,女性,170,N3
TTH34,タイ語,タイ語,20.0,女性,232,N2
TTH20,タイ語,タイ語,21.0,男性,174,N3
TTH46,タイ語,タイ語,22.0,女性,229,N2
TTH29,タイ語,タイ語,20.0,男性,228,N2
TTH51,タイ語,タイ語,21.0,女性,228,N2
TTH45,タイ語,タイ語,22.0,女性,175,N3
TTH42,タイ語,タイ語,20.0,女性,225,N2
TTH41,タイ語,タイ語,20.0,女性,224,N2
TTH47,タイ語,タイ語,21.0,女性,179,N3
TTH44,タイ語,タイ語,22.0,女性,223,N2
TTH53,タイ語,タイ語,22.0,女性,223,N2
TTH49,タイ語,タイ語,21.0,女性,182,N3
TTH12,タイ語,タイ語,22.0,女性,219,N2
TTH38,タイ語,タイ語,19.0,男性,185,N3
TTH39,タイ語,タイ語,21.0,女性,217,N2
TTH05,タイ語,タイ語,22.0,女性,186,N3
TTH22,タイ語,タイ語,21.0,女性,214,N2
TTH14,タイ語,タイ語,20.0,女性,189,N3
TTH27,タイ語,タイ語,20.0,女性,213,N2
TTH10,タイ語,タイ語,21.0,女性,211,N2
TTH35,タイ語,タイ語,20.0,女性,191,N3
TTH36,タイ語,タイ語,21.0,女性,191,N3
TTH19,タイ語,タイ語,21.0,女性,192,N3
TTH01,タイ語,タイ語,32.0,男性,209,N2
TTH23,タイ語,タイ語,21.0,女性,192,N3
TTH13,タイ語,タイ語,20.0,女性,193,N3
TTH32,タイ語,タイ語,22.0,女性,206,N2
TTH40,タイ語,タイ語,20.0,女性,206,N2
TTH07,タイ語,タイ語,19.0,女性,205,N2
TTH28,タイ語,タイ語,20.0,女性,197,N3
JJC57,国内教室環境,タイ語,30.0,女性,198,N3
TTH16,タイ語,タイ語,20.0,女性,198,N3
TTH18,タイ語,タイ語,21.0,女性,200,N2
RRS18,ロシア語,ロシア語,21.0,男性,81,N5
RRS04,ロシア語,ロシア語,20.0,男性,304,N1
RRS29,ロシア語,ロシア語,19.0,女性,106,N4
RRS10,ロシア語,ロシア語,19.0,女性,117,N4
RRS43,ロシア語,ロシア語,20.0,女性,117,N4
RRS15,ロシア語,ロシア語,18.0,女性,133,N4
RRS06,ロシア語,ロシア語,18.0,女性,136,N4
RRS22,ロシア語,ロシア語,22.0,男性,266,N1
RRS53,ロシア語,ロシア語,21.0,女性,138,N4
RRS21,ロシア語,ロシア語,22.0,女性,265,N1
RRS16,ロシア語,ロシア語,17.0,女性,139,N4
RRS05,ロシア語,ロシア語,18.0,女性,141,N4
RRS60,ロシア語,ロシア語,19.0,女性,261,N1
RRS38,ロシア語,ロシア語,18.0,未回答,145,N4
RRS58,ロシア語,ロシア語,19.0,女性,151,N3
RRS59,ロシア語,ロシア語,18.0,女性,151,N3
RRS56,ロシア語,ロシア語,24.0,女性,252,N1
RRS19,ロシア語,ロシア語,24.0,男性,158,N3
RRS02,ロシア語,ロシア語,19.0,女性,159,N3
RRS35,ロシア語,ロシア語,20.0,女性,159,N3
RRS33,ロシア語,ロシア語,22.0,女性,245,N2
RRS24,ロシア語,ロシア語,20.0,女性,244,N2
RRS01,ロシア語,ロシア語,18.0,女性,162,N3
RRS36,ロシア語,ロシア語,20.0,女性,164,N3
RRS42,ロシア語,ロシア語,21.0,女性,165,N3
JJC40,国内教室環境,ロシア語,21.0,男性,237,N2
RRS41,ロシア語,ロシア語,19.0,女性,170,N3
RRS27,ロシア語,ロシア語,22.0,女性,235,N2
RRS14,ロシア語,ロシア語,22.0,女性,234,N2
RRS11,ロシア語,ロシア語,23.0,女性,232,N2
RRS28,ロシア語,ロシア語,22.0,女性,172,N3
JJN39,国内自然習得,ロシア語,52.0,女性,174,N3
RRS12,ロシア語,ロシア語,17.0,女性,227,N2
RRS57,ロシア語,ロシア語,23.0,女性,225,N2
RRS20,ロシア語,ロシア語,19.0,女性,224,N2
RRS46,ロシア語,ロシア語,19.0,女性,179,N3
RRS55,ロシア語,ロシア語,20.0,女性,179,N3
RRS25,ロシア語,ロシア語,20.0,女性,180,N3
RRS03,ロシア語,ロシア語,21.0,男性,181,N3
RRS45,ロシア語,ロシア語,20.0,女性,184,N3
JJN34,国内自然習得,ロシア語,35.0,女性,217,N2
RRS34,ロシア語,ロシア語,22.0,女性,186,N3
RRS47,ロシア語,ロシア語,19.0,女性,216,N2
RRS39,ロシア語,ロシア語,22.0,女性,213,N2
RRS30,ロシア語,ロシア語,21.0,女性,212,N2
JJC52,国内教室環境,ロシア語,24.0,男性,210,N2
RRS32,ロシア語,ロシア語,24.0,未回答,210,N2
RRS49,ロシア語,ロシア語,22.0,女性,191,N3
RRS26,ロシア語,ロシア語,19.0,女性,207,N2
RRS44,ロシア語,ロシア語,18.0,男性,194,N3
RRS23,ロシア語,ロシア語,22.0,女性,206,N2
RRS40,ロシア語,ロシア語,20.0,女性,205,N2
RRS48,ロシア語,ロシア語,19.0,女性,203,N2
RRS13,ロシア語,ロシア語,22.0,未回答,201,N2
GDE04,ドイツ語,ドイツ語,23.0,男性,309,N1
GDE02,ドイツ語,ドイツ語,23.0,未回答,114,N4
GDE09,ドイツ語,ドイツ語,23.0,女性,134,N4
GAT30,ドイツ語,ドイツ語,33.0,女性,148,N4
GAT10,ドイツ語,ドイツ語,27.0,男性,149,N4
GAT36,ドイツ語,ドイツ語,23.0,女性,151,N3
GAT43,ドイツ語,ドイツ語,21.0,女性,154,N3
GAT07,ドイツ語,ドイツ語,24.0,女性,158,N3
GAT08,ドイツ語,ドイツ語,23.0,男性,161,N3
GDE14,ドイツ語,ドイツ語,33.0,男性,242,N2
GAT22,ドイツ語,ドイツ語,21.0,男性,163,N3
GAT34,ドイツ語,ドイツ語,25.0,女性,163,N3
GAT42,ドイツ語,ドイツ語,25.0,男性,163,N3
GDE13,ドイツ語,ドイツ語,23.0,男性,165,N3
GAT04,ドイツ語,ドイツ語,32.0,男性,169,N3
GAT29,ドイツ語,ドイツ語,25.0,女性,169,N3
GAT37,ドイツ語,ドイツ語,22.0,男性,235,N2
GAT27,ドイツ語,ドイツ語,26.0,男性,170,N3
GAT33,ドイツ語,ドイツ語,25.0,女性,232,N2
GAT20,ドイツ語,ドイツ語,21.0,女性,172,N3
GDE12,ドイツ語,ドイツ語,20.0,男性,173,N3
GAT11,ドイツ語,ドイツ語,20.0,男性,229,N2
GAT05,ドイツ語,ドイツ語,22.0,女性,175,N3
GAT25,ドイツ語,ドイツ語,24.0,男性,175,N3
GAT06,ドイツ語,ドイツ語,22.0,女性,176,N3
GAT31,ドイツ語,ドイツ語,21.0,女性,226,N2
GAT12,ドイツ語,ドイツ語,22.0,男性,225,N2
GAT14,ドイツ語,ドイツ語,26.0,男性,225,N2
GAT01,ドイツ語,ドイツ語,21.0,女性,223,N2
GAT02,ドイツ語,ドイツ語,21.0,女性,201,N2
GAT03,ドイツ語,ドイツ語,23.0,女性,207,N2
GAT09,ドイツ語,ドイツ語,21.0,女性,185,N3
GAT24,ドイツ語,ドイツ語,21.0,女性,223,N2
GAT46,ドイツ語,ドイツ語,21.0,女性,223,N2
GAT16,ドイツ語,ドイツ語,24.0,女性,195,N3
GAT17,ドイツ語,ドイツ語,21.0,女性,182,N3
GAT19,ドイツ語,ドイツ語,21.0,男性,184,N3
GAT21,ドイツ語,ドイツ語,24.0,女性,208,N2
GAT23,ドイツ語,ドイツ語,22.0,女性,187,N3
GAT39,ドイツ語,ドイツ語,25.0,男性,182,N3
GAT28,ドイツ語,ドイツ語,21.0,女性,207,N2
GDE16,ドイツ語,ドイツ語,22.0,女性,183,N3
GAT45,ドイツ語,ドイツ語,21.0,女性,219,N2
GAT38,ドイツ語,ドイツ語,35.0,女性,206,N2
GAT40,ドイツ語,ドイツ語,23.0,女性,200,N2
GAT41,ドイツ語,ドイツ語,19.0,女性,216,N2
GDE01,ドイツ語,ドイツ語,26.0,男性,190,N3
GDE06,ドイツ語,ドイツ語,32.0,男性,188,N3
GDE10,ドイツ語,ドイツ語,23.0,男性,194,N3
GDE15,ドイツ語,ドイツ語,21.0,女性,194,N3
JJN40,国内自然習得,ビサヤ語,24.0,女性,95,N5
JJN23,国内自然習得,ビサヤ語,46.0,女性,147,N4
JJN42,国内自然習得,ビサヤ語,18.0,女性,197,N3
HHG46,ハンガリー語,ハンガリー語,28.0,女性,301,N1
HHG03,ハンガリー語,ハンガリー語,25.0,女性,288,N1
HHG61,ハンガリー語,ハンガリー語,20.0,男性,118,N4
HHG40,ハンガリー語,ハンガリー語,23.0,女性,287,N1
HHG55,ハンガリー語,ハンガリー語,21.0,女性,283,N1
HHG02,ハンガリー語,ハンガリー語,24.0,女性,282,N1
HHG27,ハンガリー語,ハンガリー語,24.0,女性,135,N4
HHG12,ハンガリー語,ハンガリー語,21.0,女性,268,N1
HHG06,ハンガリー語,ハンガリー語,22.0,男性,138,N4
HHG36,ハンガリー語,ハンガリー語,25.0,男性,140,N4
HHG08,ハンガリー語,ハンガリー語,23.0,女性,141,N4
HHG33,ハンガリー語,ハンガリー語,27.0,女性,260,N1
HHG47,ハンガリー語,ハンガリー語,31.0,男性,259,N1
HHG56,ハンガリー語,ハンガリー語,23.0,女性,258,N1
HHG49,ハンガリー語,ハンガリー語,20.0,女性,151,N3
HHG53,ハンガリー語,ハンガリー語,21.0,女性,151,N3
HHG09,ハンガリー語,ハンガリー語,23.0,女性,250,N1
HHG59,ハンガリー語,ハンガリー語,25.0,男性,247,N2
HHG05,ハンガリー語,ハンガリー語,26.0,女性,246,N2
HHG29,ハンガリー語,ハンガリー語,29.0,女性,245,N2
HHG23,ハンガリー語,ハンガリー語,24.0,男性,160,N3
HHG32,ハンガリー語,ハンガリー語,27.0,男性,163,N3
HHG57,ハンガリー語,ハンガリー語,24.0,女性,240,N2
HHG04,ハンガリー語,ハンガリー語,20.0,女性,166,N3
HHG51,ハンガリー語,ハンガリー語,21.0,女性,239,N2
HHG07,ハンガリー語,ハンガリー語,23.0,女性,172,N3
HHG35,ハンガリー語,ハンガリー語,24.0,男性,172,N3
HHG20,ハンガリー語,ハンガリー語,22.0,女性,231,N2
HHG37,ハンガリー語,ハンガリー語,26.0,女性,230,N2
HHG39,ハンガリー語,ハンガリー語,31.0,男性,230,N2
HHG45,ハンガリー語,ハンガリー語,22.0,女性,229,N2
HHG50,ハンガリー語,ハンガリー語,21.0,女性,178,N3
HHG60,ハンガリー語,ハンガリー語,20.0,男性,178,N3
HHG19,ハンガリー語,ハンガリー語,28.0,女性,224,N2
HHG18,ハンガリー語,ハンガリー語,22.0,女性,180,N3
HHG28,ハンガリー語,ハンガリー語,22.0,男性,223,N2
HHG31,ハンガリー語,ハンガリー語,22.0,女性,221,N2
HHG30,ハンガリー語,ハンガリー語,25.0,男性,183,N3
HHG13,ハンガリー語,ハンガリー語,23.0,女性,219,N2
HHG25,ハンガリー語,ハンガリー語,22.0,女性,186,N3
HHG58,ハンガリー語,ハンガリー語,21.0,女性,186,N3
HHG44,ハンガリー語,ハンガリー語,32.0,男性,216,N2
HHG10,ハンガリー語,ハンガリー語,29.0,女性,203,N2
HHG11,ハンガリー語,ハンガリー語,21.0,女性,190,N3
HHG16,ハンガリー語,ハンガリー語,24.0,女性,206,N2
HHG21,ハンガリー語,ハンガリー語,22.0,男性,197,N3
HHG26,ハンガリー語,ハンガリー語,20.0,女性,192,N3
HHG48,ハンガリー語,ハンガリー語,24.0,男性,212,N2
HHG52,ハンガリー語,ハンガリー語,19.0,女性,199,N3
HHG54,ハンガリー語,ハンガリー語,21.0,女性,198,N3
JJC04,国内教室環境,ベトナム語,24.0,男性,104,N4
VVN20,ベトナム語,ベトナム語,20.0,女性,118,N4
JJE15,国内教室環境,ベトナム語,25.0,女性,279,N1
VVN53,ベトナム語,ベトナム語,22.0,女性,127,N4
VVN50,ベトナム語,ベトナム語,23.0,女性,275,N1
JJE11,国内教室環境,ベトナム語,23.0,女性,135,N4
VVN22,ベトナム語,ベトナム語,20.0,男性,268,N1
VVN09,ベトナム語,ベトナム語,21.0,女性,139,N4
VVN28,ベトナム語,ベトナム語,21.0,女性,141,N4
VVN40,ベトナム語,ベトナム語,20.0,女性,261,N1
JJC62,国内教室環境,ベトナム語,20.0,男性,260,N1
JJE12,国内教室環境,ベトナム語,24.0,男性,150,N3
VVN46,ベトナム語,ベトナム語,22.0,男性,152,N3
VVN32,ベトナム語,ベトナム語,22.0,女性,153,N3
JJE13,国内教室環境,ベトナム語,22.0,男性,156,N3
VVN03,ベトナム語,ベトナム語,21.0,女性,157,N3
VVN25,ベトナム語,ベトナム語,21.0,未回答,157,N3
VVN36,ベトナム語,ベトナム語,21.0,女性,157,N3
VVN47,ベトナム語,ベトナム語,21.0,男性,245,N2
VVN41,ベトナム語,ベトナム語,21.0,女性,161,N3
VVN10,ベトナム語,ベトナム語,21.0,女性,243,N2
VVN35,ベトナム語,ベトナム語,21.0,女性,162,N3
VVN38,ベトナム語,ベトナム語,21.0,女性,164,N3
VVN29,ベトナム語,ベトナム語,22.0,女性,240,N2
VVN45,ベトナム語,ベトナム語,20.0,男性,165,N3
JJC16,国内教室環境,ベトナム語,21.0,男性,170,N3
VVN17,ベトナム語,ベトナム語,21.0,女性,170,N3
VVN57,ベトナム語,ベトナム語,22.0,女性,233,N2
VVN48,ベトナム語,ベトナム語,21.0,女性,232,N2
VVN01,ベトナム語,ベトナム語,20.0,男性,231,N2
JJE46,国内教室環境,ベトナム語,26.0,女性,173,N3
VVN31,ベトナム語,ベトナム語,20.0,女性,229,N2
VVN44,ベトナム語,ベトナム語,20.0,女性,229,N2
JJE18,国内教室環境,ベトナム語,23.0,男性,176,N3
JJN31,国内自然習得,ベトナム語,29.0,男性,227,N2
